title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
[1+1] 스포츠리서치 오메가3 rTG 피쉬오일 1250mg 트리플스트렝스 30정x2개,https://smartstore.naver.com/main/products/4570407834,https://shopping-phinf.pstatic.net/main_8211492/82114927988.2.jpg,41900,,로스스토어,82114927988,2,스포츠리서치,스포츠리서치,식품,건강식품,영양제,오메가3
맘스포뮬러 임산부 오메가3 식물성 초임계 알티지(rTG) 미니 60캡슐 2개월분,https://smartstore.naver.com/main/products/12774693911,https://shopping-phinf.pstatic.net/main_9031920/90319204860.2.jpg,35000,,맘스포뮬러,90319204860,2,맘스포뮬러,,식품,건강식품,영양제,오메가3
"지엠팜 더 알티지 오메가3 565mg x 60캡슐, 1개",https://search.shopping.naver.com/catalog/51929190735,https://shopping-phinf.pstatic.net/main_5192919/51929190735.20250320163752.jpg,28000,,네이버,51929190735,1,지엠팜,노바렉스,식품,건강식품,영양제,오메가3
"지엠팜 초임계 식물성 알티지 DHA 오메가3 601mg x 60캡슐, 1개",https://search.shopping.naver.com/catalog/55933355165,https://shopping-phinf.pstatic.net/main_5593335/55933355165.20250819153452.jpg,40500,,네이버,55933355165,1,지엠팜,알피바이오,식품,건강식품,영양제,오메가3
"종근당건강 혈행건강 프로메가 알티지 오메가3 비타민D 430mg x 60캡슐, 6개",https://search.shopping.naver.com/catalog/51929028733,https://shopping-phinf.pstatic.net/main_5192902/51929028733.20241213202638.jpg,43700,,네이버,51929028733,1,종근당건강,종근당건강,식품,건강식품,영양제,오메가3
"더리얼 알티지 오메가3 맥스 1400mg x 60캡슐, 2개",https://search.shopping.naver.com/catalog/51929184611,https://shopping-phinf.pstatic.net/main_5192918/51929184611.20241213204922.jpg,52000,,네이버,51929184611,1,더리얼,비타네추럴스,식품,건강식품,영양제,오메가3
[2개월분] rTG알티지오메가3 1박스 60캡슐 1000mg 비타민D3 식물성캡슐 순수식품,https://smartstore.naver.com/main/products/4867822811,https://shopping-phinf.pstatic.net/main_8241234/82412346266.29.jpg,11500,,순수식품,82412346266,3,순수식품,동서바이오팜,식품,건강식품,영양제,오메가3
뉴트리디데이 rTG 알티지 오메가3 골드,https://smartstore.naver.com/main/products/5123309105,https://shopping-phinf.pstatic.net/main_8266782/82667829521.18.jpg,17900,,뉴트리디데이,82667829521,3,뉴트리디데이,케이지앤에프,식품,건강식품,영양제,오메가3
블랙모어스 알티지오메가3 호주 프리미엄 RTG오메가3 임산부 피쉬오일 미니 캡슐 2+1,https://smartstore.naver.com/main/products/5489289792,https://shopping-phinf.pstatic.net/main_8303378/83033784834.42.jpg,45900,,블랙모어스,83033784834,3,블랙모어스,블랙모어스,식품,건강식품,영양제,오메가3
"헤라클레스 엑스퍼트 오메가3 30캡슐, 4개",https://smartstore.naver.com/main/products/11946510653,https://shopping-phinf.pstatic.net/main_8949102/89491021341.3.jpg,79800,,HERACLES,89491021341,3,헤라클레스,콜마비앤에이치,식품,건강식품,영양제,오메가3
